ID,Var_ID,Name,Description,ord
B004-1,B004,Hunting,Majority of a group's nutritional intake comes from terrestrial animal resources,1
B004-2,B004,Gathering,Majority of a group's nutritional intake comes from terrestrial plant resources,2
B004-3,B004,Fishing (aquatic),Majority of a group's nutritional intake comes from aquatic resources,3
B004-NA,B004,Missing data,Missing data,99
B005-1,B005,Normal,"Normal HGF group: at time of contact, subsistence was based exclusively on hunting, gathering and/or fishing. No domesticated resources were exploited, except perhas the dog or plant substance such as tobacco.",1
B005-2,B005,Suspect,"Suspect: altrough the group may be organized similarly to hunter-gatherer-fishers, some subsistence may come from exchanges with non-HGF groups",2
B005-NA,B005,Missing data,Missing data,99
B009-1,B009,Mobile,Group is mobile and moves entire population from camp to camp as they go about the subsistence round,1
B009-2,B009,Sedentary,Group is completely sedentary or group moves into and out of a central location that is maintained for more than one year,2
B009-NA,B009,Missing data,Missing data,99
B017-1,B017,"Nuclear, monogamous",Independent nuclear families with monogamy,1
B017-2,B017,"Nuclear, limited polygyny",Independent nuclear families with occasional or limited polygyny,2
B017-3,B017,Polyandrous,Independent polyandrous families,3
B017-4,B017,"Polygyny, atypical cowives pattern","Independent polygynous families, unusual co-wives pattern (either polygyny is preferentially sororal, with cowives in separate quarters or it is typically non-sororal, with cowives in same quarters",4
B017-5,B017,"Polygyny, typical cowives pattern","Independent polygynous families, usual co-wives pattern (either polygyny is preferentially sororal, with cowives in same quarters, OR typically non-sororal, with cowives in separate quarters)",5
B017-6,B017,Minimal extended,"Minimal extended or ""stem"" families, i.e., those consisting of only two related families of procreation (disregarding polygamous unions), particularly of adjacent generations",6
B017-7,B017,Small extended,"Small extended families, i.e., those normally embracing the families of procreation of only one individual in the senior generation but of at least two in the next generation. Such families usually dissolve on the death of the head",7
B017-8,B017,Large extended,"Large extended families, i.e., corporate aggregations of smaller family units occupying a single dwelling or a number of adjacent dwellings and normally embracing the families of procreation of at least two siblings or cousins in each of at least two adjacent generations",8
B017-NA,B017,Missing data,Missing data,99
B018-1,B018,Monogamous,Monogamous,1
B018-2,B018,Limited polygyny,"Polygynous, with polygyny occasional or limited",2
B018-3,B018,"Polygyny, sororal cohabit","Polygynous, with polygyny common and preferentially sororal, and co-wives not reported to occupy separate quarters",3
B018-4,B018,"Polygyny, sororal separate","Polygynous, with polygyny common and preferentially sororal, and co-wives typically occupying separate quarters",4
B018-5,B018,"Polygyny, non-sororal cohabit","Polygynous, with polygyny general and not reported to be preferentially sororal, and co-wives typically occupying separate quarters",5
B018-6,B018,"Polygyny, non-sororal separate","Polygynous, with polygyny general and not reported to be preferentially sororal, and co-wives not reported to occupy separate quarters",6
B018-7,B018,Polyandrous,Polyandrous,7
B018-NA,B018,Missing data,Missing data,99
B029-1,B029,Autonomous,"Local autonomy, senior male ""guidance""",1
B029-2,B029,Local autonomy with leader,"Local autonomy with performance-based leadership, leaders are acknowledged",2
B029-3,B029,Local autonomy with leader and council,Local autonomy with a formal council and a leader who assembles the council and has other group duties,3
B029-4,B029,Regional leaders,Neighbourhoods of villages/settlements/large camps integrated into an overarching leadership and decision making organization,4
B029-NA,B029,Missing data,Missing data,99
B030-1,B030,"Autonomous, matrix of similar HG groups",Group is autonomous and exists in a matrix of similarly scaled hunter-gatherer systems,1
B030-2,B030,"Autonomous, articulated to more complex HG group(s)",Group is autonomous but is articularted to a socially or politically more complex group of hunter-gatherers,2
B030-3,B030,Articulated to a non-HG society,"Group exists in a culturally heterogeneous region and is articulated to a non-hunter gatherer society, either mutualistically or in a patron-client relationship",3
B030-NA,B030,Missing data,Missing data,99
B031-1,B031,Absence of distinctions,Absence of any significant class distinctions,1
B031-2,B031,Wealth distinctions only,Wealth distinctions only,2
B031-3,B031,Dual: hereditary aristocracy and lower class,Dual stratification into a hereditary aristocracy and a lower class of ordinary people,3
B031-NA,B031,Missing data,Missing data,99
B032-1,B032,No special prerogatives,No special prerogatives,1
B032-2,B032,No subsistence relief; some assistants,"No relief from subsistence and no special dress prerogatives, but messengers as regular assistants",2
B032-3,B032,No subsistence relief; some assistants and dress,"No relief from subsistence and only minor dress prerogatives, but both messengers and a talking chief or speaker for the leader",3
B032-4,B032,Some subsistence relief,"Some regular relief from subsistence, in-kind contributions to the leader from the ""people,"" sometimes special roles for the leader's wife",4
B032-5,B032,"Complete subsistence relief; assistants, distinctive dress","Complete relief from subsistence duties, more assistants, special roles associated with the leader, visible symbols associated with the office, perhaps a permanent ""guard,"" perhaps special marriage rules, and very distinctive clothing",5
B032-NA,B032,Missing data,Missing data,99
B033-1,B033,Absent,Absent,1
B033-2,B033,Rarely used,Rarely used,2
B033-3,B033,Commonly used,Commonly used,3
B033-4,B033,Many convertible items,Many convertible items,4
B033-NA,B033,Missing data,Missing data,99
B034-1,B034,Absent,Absent,1
B034-2,B034,Few (1-3),Few (1-3),2
B034-3,B034,Moderate (4-7),Moderate (4-7),3
B034-4,B034,Many (>= 8),Many (equal to or greater than 8),4
B034-NA,B034,Missing data,Missing data,99
B035-1,B035,Exogamous,Exogamous,1
B035-2,B035,Exogamous clan,Exogamous clan,2
B035-3,B035,Agamous,Agamous,3
B035-4,B035,Endogamous demed,Endogamous demed,4
B035-5,B035,Endogamous segmented,Endogamous segmented,5
B035-NA,B035,Missing data,Missing data,99
B036-1,B036,No permanent structures,No permanent community structures,1
B036-2,B036,Host's residence,Rituals and ceremonies held in host's residence,2
B036-3,B036,Sweat lodge,Sweat lodge,3
B036-4,B036,Dance house,Dance house,4
B036-5,B036,Dance or Men's house and Sweat lodge,"Dance house or men's house, and sweat house",5
B036-6,B036,Functionally specific comm. house,Functionally specific community house,6
B036-7,B036,Complex of structures,Complex of community structures present,7
B036-NA,B036,Missing data,Missing data,99
B037-1,B037,"No ownership, use rights recognized","No ownership reported, use rights recognized by others",1
B037-2,B037,"Grp ownership, hh claim trees/similar features","Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",2
B037-3,B037,"Grp ownership, subgrps claim excl. access to resources","Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",3
B037-4,B037,Elite ownership,Elite ownership of land and resources,4
B037-NA,B037,Missing data,Missing data,99
B038-1,B038,Mounted hunters,Mounted hunters,1
B038-2,B038,Agriculturalists,Agriculturalists,2
B038-3,B038,Mutualists,Mutualists,3
B038-4,B038,"Egalitarian, no leaders",Egalitarian but without leaders,4
B038-5,B038,"Egalitarian, leaders",Egalitarian with leaders,5
B038-6,B038,Ranked wealth,Ranked wealth,6
B038-7,B038,Ranked elites,Ranked elites,7
B038-NA,B038,Missing data,Missing data,99
CARNEIRO_001-0,CARNEIRO_001,absent,absent,0
CARNEIRO_001-1,CARNEIRO_001,present,present,1
CARNEIRO_002-0,CARNEIRO_002,absent,absent,0
CARNEIRO_002-1,CARNEIRO_002,present,present,1
CARNEIRO_003-0,CARNEIRO_003,absent,absent,0
CARNEIRO_003-1,CARNEIRO_003,present,present,1
CARNEIRO_004-0,CARNEIRO_004,absent,absent,0
CARNEIRO_004-1,CARNEIRO_004,present,present,1
CARNEIRO_005-0,CARNEIRO_005,absent,absent,0
CARNEIRO_005-1,CARNEIRO_005,present,present,1
CARNEIRO_006-0,CARNEIRO_006,absent,absent,0
CARNEIRO_006-1,CARNEIRO_006,present,present,1
CARNEIRO_007-0,CARNEIRO_007,absent,absent,0
CARNEIRO_007-1,CARNEIRO_007,present,present,1
CARNEIRO_008-0,CARNEIRO_008,absent,absent,0
CARNEIRO_008-1,CARNEIRO_008,present,present,1
CARNEIRO_009-0,CARNEIRO_009,absent,absent,0
CARNEIRO_009-1,CARNEIRO_009,present,present,1
CARNEIRO_010-0,CARNEIRO_010,absent,absent,0
CARNEIRO_010-1,CARNEIRO_010,present,present,1
CARNEIRO_011-0,CARNEIRO_011,absent,absent,0
CARNEIRO_011-1,CARNEIRO_011,present,present,1
CARNEIRO_012-0,CARNEIRO_012,absent,absent,0
CARNEIRO_012-1,CARNEIRO_012,present,present,1
CARNEIRO_013-0,CARNEIRO_013,absent,absent,0
CARNEIRO_013-1,CARNEIRO_013,present,present,1
CARNEIRO_014-0,CARNEIRO_014,absent,absent,0
CARNEIRO_014-1,CARNEIRO_014,present,present,1
CARNEIRO_015-0,CARNEIRO_015,absent,absent,0
CARNEIRO_015-1,CARNEIRO_015,present,present,1
CARNEIRO_016-0,CARNEIRO_016,absent,absent,0
CARNEIRO_016-1,CARNEIRO_016,present,present,1
CARNEIRO_017-0,CARNEIRO_017,absent,absent,0
CARNEIRO_017-1,CARNEIRO_017,present,present,1
CARNEIRO_018-0,CARNEIRO_018,absent,absent,0
CARNEIRO_018-1,CARNEIRO_018,present,present,1
CARNEIRO_019-0,CARNEIRO_019,absent,absent,0
CARNEIRO_019-1,CARNEIRO_019,present,present,1
CARNEIRO_020-0,CARNEIRO_020,absent,absent,0
CARNEIRO_020-1,CARNEIRO_020,present,present,1
CARNEIRO_021-0,CARNEIRO_021,absent,absent,0
CARNEIRO_021-1,CARNEIRO_021,present,present,1
CARNEIRO_022-0,CARNEIRO_022,absent,absent,0
CARNEIRO_022-1,CARNEIRO_022,present,present,1
CARNEIRO_023-0,CARNEIRO_023,absent,absent,0
CARNEIRO_023-1,CARNEIRO_023,present,present,1
CARNEIRO_024-0,CARNEIRO_024,absent,absent,0
CARNEIRO_024-1,CARNEIRO_024,present,present,1
CARNEIRO_025-0,CARNEIRO_025,absent,absent,0
CARNEIRO_025-1,CARNEIRO_025,present,present,1
CARNEIRO_026-0,CARNEIRO_026,absent,absent,0
CARNEIRO_026-1,CARNEIRO_026,present,present,1
CARNEIRO_027-0,CARNEIRO_027,absent,absent,0
CARNEIRO_027-1,CARNEIRO_027,present,present,1
CARNEIRO_028-0,CARNEIRO_028,absent,absent,0
CARNEIRO_028-1,CARNEIRO_028,present,present,1
CARNEIRO_029-0,CARNEIRO_029,absent,absent,0
CARNEIRO_029-1,CARNEIRO_029,present,present,1
CARNEIRO_030-0,CARNEIRO_030,absent,absent,0
CARNEIRO_030-1,CARNEIRO_030,present,present,1
CARNEIRO_031-0,CARNEIRO_031,absent,absent,0
CARNEIRO_031-1,CARNEIRO_031,present,present,1
CARNEIRO_032-0,CARNEIRO_032,absent,absent,0
CARNEIRO_032-1,CARNEIRO_032,present,present,1
CARNEIRO_033-0,CARNEIRO_033,absent,absent,0
CARNEIRO_033-1,CARNEIRO_033,present,present,1
CARNEIRO_034-0,CARNEIRO_034,absent,absent,0
CARNEIRO_034-1,CARNEIRO_034,present,present,1
CARNEIRO_035-0,CARNEIRO_035,absent,absent,0
CARNEIRO_035-1,CARNEIRO_035,present,present,1
CARNEIRO_036-0,CARNEIRO_036,absent,absent,0
CARNEIRO_036-1,CARNEIRO_036,present,present,1
CARNEIRO_037-0,CARNEIRO_037,absent,absent,0
CARNEIRO_037-1,CARNEIRO_037,present,present,1
CARNEIRO_038-0,CARNEIRO_038,absent,absent,0
CARNEIRO_038-1,CARNEIRO_038,present,present,1
CARNEIRO_039-0,CARNEIRO_039,absent,absent,0
CARNEIRO_039-1,CARNEIRO_039,present,present,1
CARNEIRO_040-0,CARNEIRO_040,absent,absent,0
CARNEIRO_040-1,CARNEIRO_040,present,present,1
CARNEIRO_041-0,CARNEIRO_041,absent,absent,0
CARNEIRO_041-1,CARNEIRO_041,present,present,1
CARNEIRO_042-0,CARNEIRO_042,absent,absent,0
CARNEIRO_042-1,CARNEIRO_042,present,present,1
CARNEIRO_043-0,CARNEIRO_043,absent,absent,0
CARNEIRO_043-1,CARNEIRO_043,present,present,1
CARNEIRO_044-0,CARNEIRO_044,absent,absent,0
CARNEIRO_044-1,CARNEIRO_044,present,present,1
CARNEIRO_045-0,CARNEIRO_045,absent,absent,0
CARNEIRO_045-1,CARNEIRO_045,present,present,1
CARNEIRO_046-0,CARNEIRO_046,absent,absent,0
CARNEIRO_046-1,CARNEIRO_046,present,present,1
CARNEIRO_047-0,CARNEIRO_047,absent,absent,0
CARNEIRO_047-1,CARNEIRO_047,present,present,1
CARNEIRO_048-0,CARNEIRO_048,absent,absent,0
CARNEIRO_048-1,CARNEIRO_048,present,present,1
CARNEIRO_049-0,CARNEIRO_049,absent,absent,0
CARNEIRO_049-1,CARNEIRO_049,present,present,1
CARNEIRO_050-0,CARNEIRO_050,absent,absent,0
CARNEIRO_050-1,CARNEIRO_050,present,present,1
CARNEIRO_051-0,CARNEIRO_051,absent,absent,0
CARNEIRO_051-1,CARNEIRO_051,present,present,1
CARNEIRO_052-0,CARNEIRO_052,absent,absent,0
CARNEIRO_052-1,CARNEIRO_052,present,present,1
CARNEIRO_053-0,CARNEIRO_053,absent,absent,0
CARNEIRO_053-1,CARNEIRO_053,present,present,1
CARNEIRO_054-0,CARNEIRO_054,absent,absent,0
CARNEIRO_054-1,CARNEIRO_054,present,present,1
CARNEIRO_055-0,CARNEIRO_055,absent,absent,0
CARNEIRO_055-1,CARNEIRO_055,present,present,1
CARNEIRO_056-0,CARNEIRO_056,absent,absent,0
CARNEIRO_056-1,CARNEIRO_056,present,present,1
CARNEIRO_057-0,CARNEIRO_057,absent,absent,0
CARNEIRO_057-1,CARNEIRO_057,present,present,1
CARNEIRO_058-0,CARNEIRO_058,absent,absent,0
CARNEIRO_058-1,CARNEIRO_058,present,present,1
CARNEIRO_059-0,CARNEIRO_059,absent,absent,0
CARNEIRO_059-1,CARNEIRO_059,present,present,1
CARNEIRO_060-0,CARNEIRO_060,absent,absent,0
CARNEIRO_060-1,CARNEIRO_060,present,present,1
CARNEIRO_061-0,CARNEIRO_061,absent,absent,0
CARNEIRO_061-1,CARNEIRO_061,present,present,1
CARNEIRO_062-0,CARNEIRO_062,absent,absent,0
CARNEIRO_062-1,CARNEIRO_062,present,present,1
CARNEIRO_063-0,CARNEIRO_063,absent,absent,0
CARNEIRO_063-1,CARNEIRO_063,present,present,1
CARNEIRO_064-0,CARNEIRO_064,absent,absent,0
CARNEIRO_064-1,CARNEIRO_064,present,present,1
CARNEIRO_065-0,CARNEIRO_065,absent,absent,0
CARNEIRO_065-1,CARNEIRO_065,present,present,1
CARNEIRO_066-0,CARNEIRO_066,absent,absent,0
CARNEIRO_066-1,CARNEIRO_066,present,present,1
CARNEIRO_067-0,CARNEIRO_067,absent,absent,0
CARNEIRO_067-1,CARNEIRO_067,present,present,1
CARNEIRO_068-0,CARNEIRO_068,absent,absent,0
CARNEIRO_068-1,CARNEIRO_068,present,present,1
CARNEIRO_069-0,CARNEIRO_069,absent,absent,0
CARNEIRO_069-1,CARNEIRO_069,present,present,1
CARNEIRO_070-0,CARNEIRO_070,absent,absent,0
CARNEIRO_070-1,CARNEIRO_070,present,present,1
CARNEIRO_071-0,CARNEIRO_071,absent,absent,0
CARNEIRO_071-1,CARNEIRO_071,present,present,1
CARNEIRO_072-0,CARNEIRO_072,absent,absent,0
CARNEIRO_072-1,CARNEIRO_072,present,present,1
CARNEIRO_073-0,CARNEIRO_073,absent,absent,0
CARNEIRO_073-1,CARNEIRO_073,present,present,1
CARNEIRO_074-0,CARNEIRO_074,absent,absent,0
CARNEIRO_074-1,CARNEIRO_074,present,present,1
CARNEIRO_075-0,CARNEIRO_075,absent,absent,0
CARNEIRO_075-1,CARNEIRO_075,present,present,1
CARNEIRO_076-0,CARNEIRO_076,absent,absent,0
CARNEIRO_076-1,CARNEIRO_076,present,present,1
CARNEIRO_077-0,CARNEIRO_077,absent,absent,0
CARNEIRO_077-1,CARNEIRO_077,present,present,1
CARNEIRO_078-0,CARNEIRO_078,absent,absent,0
CARNEIRO_078-1,CARNEIRO_078,present,present,1
CARNEIRO_079-0,CARNEIRO_079,absent,absent,0
CARNEIRO_079-1,CARNEIRO_079,present,present,1
CARNEIRO_080-0,CARNEIRO_080,absent,absent,0
CARNEIRO_080-1,CARNEIRO_080,present,present,1
CARNEIRO_081-0,CARNEIRO_081,absent,absent,0
CARNEIRO_081-1,CARNEIRO_081,present,present,1
CARNEIRO_082-0,CARNEIRO_082,absent,absent,0
CARNEIRO_082-1,CARNEIRO_082,present,present,1
CARNEIRO_083-0,CARNEIRO_083,absent,absent,0
CARNEIRO_083-1,CARNEIRO_083,present,present,1
CARNEIRO_084-0,CARNEIRO_084,absent,absent,0
CARNEIRO_084-1,CARNEIRO_084,present,present,1
CARNEIRO_085-0,CARNEIRO_085,absent,absent,0
CARNEIRO_085-1,CARNEIRO_085,present,present,1
CARNEIRO_086-0,CARNEIRO_086,absent,absent,0
CARNEIRO_086-1,CARNEIRO_086,present,present,1
CARNEIRO_087-0,CARNEIRO_087,absent,absent,0
CARNEIRO_087-1,CARNEIRO_087,present,present,1
CARNEIRO_088-0,CARNEIRO_088,absent,absent,0
CARNEIRO_088-1,CARNEIRO_088,present,present,1
CARNEIRO_089-0,CARNEIRO_089,absent,absent,0
CARNEIRO_089-1,CARNEIRO_089,present,present,1
CARNEIRO_090-0,CARNEIRO_090,absent,absent,0
CARNEIRO_090-1,CARNEIRO_090,present,present,1
CARNEIRO_091-0,CARNEIRO_091,absent,absent,0
CARNEIRO_091-1,CARNEIRO_091,present,present,1
CARNEIRO_092-0,CARNEIRO_092,absent,absent,0
CARNEIRO_092-1,CARNEIRO_092,present,present,1
CARNEIRO_093-0,CARNEIRO_093,absent,absent,0
CARNEIRO_093-1,CARNEIRO_093,present,present,1
CARNEIRO_094-0,CARNEIRO_094,absent,absent,0
CARNEIRO_094-1,CARNEIRO_094,present,present,1
CARNEIRO_095-0,CARNEIRO_095,absent,absent,0
CARNEIRO_095-1,CARNEIRO_095,present,present,1
CARNEIRO_096-0,CARNEIRO_096,absent,absent,0
CARNEIRO_096-1,CARNEIRO_096,present,present,1
CARNEIRO_097-0,CARNEIRO_097,absent,absent,0
CARNEIRO_097-1,CARNEIRO_097,present,present,1
CARNEIRO_098-0,CARNEIRO_098,absent,absent,0
CARNEIRO_098-1,CARNEIRO_098,present,present,1
CARNEIRO_099-0,CARNEIRO_099,absent,absent,0
CARNEIRO_099-1,CARNEIRO_099,present,present,1
CARNEIRO_100-0,CARNEIRO_100,absent,absent,0
CARNEIRO_100-1,CARNEIRO_100,present,present,1
CARNEIRO_101-0,CARNEIRO_101,absent,absent,0
CARNEIRO_101-1,CARNEIRO_101,present,present,1
CARNEIRO_102-0,CARNEIRO_102,absent,absent,0
CARNEIRO_102-1,CARNEIRO_102,present,present,1
CARNEIRO_103-0,CARNEIRO_103,absent,absent,0
CARNEIRO_103-1,CARNEIRO_103,present,present,1
CARNEIRO_104-0,CARNEIRO_104,absent,absent,0
CARNEIRO_104-1,CARNEIRO_104,present,present,1
CARNEIRO_105-0,CARNEIRO_105,absent,absent,0
CARNEIRO_105-1,CARNEIRO_105,present,present,1
CARNEIRO_106-0,CARNEIRO_106,absent,absent,0
CARNEIRO_106-1,CARNEIRO_106,present,present,1
CARNEIRO_107-0,CARNEIRO_107,absent,absent,0
CARNEIRO_107-1,CARNEIRO_107,present,present,1
CARNEIRO_108-0,CARNEIRO_108,absent,absent,0
CARNEIRO_108-1,CARNEIRO_108,present,present,1
CARNEIRO_109-0,CARNEIRO_109,absent,absent,0
CARNEIRO_109-1,CARNEIRO_109,present,present,1
CARNEIRO_110-0,CARNEIRO_110,absent,absent,0
CARNEIRO_110-1,CARNEIRO_110,present,present,1
CARNEIRO_111-0,CARNEIRO_111,absent,absent,0
CARNEIRO_111-1,CARNEIRO_111,present,present,1
CARNEIRO_112-0,CARNEIRO_112,absent,absent,0
CARNEIRO_112-1,CARNEIRO_112,present,present,1
CARNEIRO_113-0,CARNEIRO_113,absent,absent,0
CARNEIRO_113-1,CARNEIRO_113,present,present,1
CARNEIRO_114-0,CARNEIRO_114,absent,absent,0
CARNEIRO_114-1,CARNEIRO_114,present,present,1
CARNEIRO_115-0,CARNEIRO_115,absent,absent,0
CARNEIRO_115-1,CARNEIRO_115,present,present,1
CARNEIRO_116-0,CARNEIRO_116,absent,absent,0
CARNEIRO_116-1,CARNEIRO_116,present,present,1
CARNEIRO_117-0,CARNEIRO_117,absent,absent,0
CARNEIRO_117-1,CARNEIRO_117,present,present,1
CARNEIRO_118-0,CARNEIRO_118,absent,absent,0
CARNEIRO_118-1,CARNEIRO_118,present,present,1
CARNEIRO_119-0,CARNEIRO_119,absent,absent,0
CARNEIRO_119-1,CARNEIRO_119,present,present,1
CARNEIRO_120-0,CARNEIRO_120,absent,absent,0
CARNEIRO_120-1,CARNEIRO_120,present,present,1
CARNEIRO_121-0,CARNEIRO_121,absent,absent,0
CARNEIRO_121-1,CARNEIRO_121,present,present,1
CARNEIRO_122-0,CARNEIRO_122,absent,absent,0
CARNEIRO_122-1,CARNEIRO_122,present,present,1
CARNEIRO_123-0,CARNEIRO_123,absent,absent,0
CARNEIRO_123-1,CARNEIRO_123,present,present,1
CARNEIRO_124-0,CARNEIRO_124,absent,absent,0
CARNEIRO_124-1,CARNEIRO_124,present,present,1
CARNEIRO_125-0,CARNEIRO_125,absent,absent,0
CARNEIRO_125-1,CARNEIRO_125,present,present,1
CARNEIRO_126-0,CARNEIRO_126,absent,absent,0
CARNEIRO_126-1,CARNEIRO_126,present,present,1
CARNEIRO_127-0,CARNEIRO_127,absent,absent,0
CARNEIRO_127-1,CARNEIRO_127,present,present,1
CARNEIRO_128-0,CARNEIRO_128,absent,absent,0
CARNEIRO_128-1,CARNEIRO_128,present,present,1
CARNEIRO_129-0,CARNEIRO_129,absent,absent,0
CARNEIRO_129-1,CARNEIRO_129,present,present,1
CARNEIRO_130-0,CARNEIRO_130,absent,absent,0
CARNEIRO_130-1,CARNEIRO_130,present,present,1
CARNEIRO_131-0,CARNEIRO_131,absent,absent,0
CARNEIRO_131-1,CARNEIRO_131,present,present,1
CARNEIRO_132-0,CARNEIRO_132,absent,absent,0
CARNEIRO_132-1,CARNEIRO_132,present,present,1
CARNEIRO_133-0,CARNEIRO_133,absent,absent,0
CARNEIRO_133-1,CARNEIRO_133,present,present,1
CARNEIRO_134-0,CARNEIRO_134,absent,absent,0
CARNEIRO_134-1,CARNEIRO_134,present,present,1
CARNEIRO_135-0,CARNEIRO_135,absent,absent,0
CARNEIRO_135-1,CARNEIRO_135,present,present,1
CARNEIRO_136-0,CARNEIRO_136,absent,absent,0
CARNEIRO_136-1,CARNEIRO_136,present,present,1
CARNEIRO_137-0,CARNEIRO_137,absent,absent,0
CARNEIRO_137-1,CARNEIRO_137,present,present,1
CARNEIRO_138-0,CARNEIRO_138,absent,absent,0
CARNEIRO_138-1,CARNEIRO_138,present,present,1
CARNEIRO_139-0,CARNEIRO_139,absent,absent,0
CARNEIRO_139-1,CARNEIRO_139,present,present,1
CARNEIRO_140-0,CARNEIRO_140,absent,absent,0
CARNEIRO_140-1,CARNEIRO_140,present,present,1
CARNEIRO_141-0,CARNEIRO_141,absent,absent,0
CARNEIRO_141-1,CARNEIRO_141,present,present,1
CARNEIRO_142-0,CARNEIRO_142,absent,absent,0
CARNEIRO_142-1,CARNEIRO_142,present,present,1
CARNEIRO_143-0,CARNEIRO_143,absent,absent,0
CARNEIRO_143-1,CARNEIRO_143,present,present,1
CARNEIRO_144-0,CARNEIRO_144,absent,absent,0
CARNEIRO_144-1,CARNEIRO_144,present,present,1
CARNEIRO_145-0,CARNEIRO_145,absent,absent,0
CARNEIRO_145-1,CARNEIRO_145,present,present,1
CARNEIRO_146-0,CARNEIRO_146,absent,absent,0
CARNEIRO_146-1,CARNEIRO_146,present,present,1
CARNEIRO_147-0,CARNEIRO_147,absent,absent,0
CARNEIRO_147-1,CARNEIRO_147,present,present,1
CARNEIRO_148-0,CARNEIRO_148,absent,absent,0
CARNEIRO_148-1,CARNEIRO_148,present,present,1
CARNEIRO_149-0,CARNEIRO_149,absent,absent,0
CARNEIRO_149-1,CARNEIRO_149,present,present,1
CARNEIRO_150-0,CARNEIRO_150,absent,absent,0
CARNEIRO_150-1,CARNEIRO_150,present,present,1
CARNEIRO_151-0,CARNEIRO_151,absent,absent,0
