ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region,type,Language_Level_Glottocodes,ISO639P3code,Contribution_ID
B72,!Kung,-20,21.18,juho1239,!Kung (B72),xd1,Kung Bushmen; !Kung (Was Nyae); Was Nyae,1950,San (FX10),FX10,-20,21.18,Original,,Southern Africa,society,juho1239,,dplace-dataset-binford
B296,Kuskowagmut,61.01,-161.55,kusk1241,Kuskowagmut (B296),xd1000,,1850,,,61.01,-161.55,Original,,Subarctic America,society,cent2127,,dplace-dataset-binford
B322,Syilx,49.46,-119.63,sout2963,Okanagan (B322),xd1001,Okanagan,1860,,,49.46,-119.63,Original,,Western Canada,society,okan1243,,dplace-dataset-binford
B335,Round Lake Ojibwa,52.71,-90.62,seve1241,Round Lake Ojibwa (B335),xd1003,Weagamow; North Caribou Lake; Round Lake,1900,,,52.71,-90.62,Original,,Eastern Canada,society,seve1240,,dplace-dataset-binford
B339,North Albany Ojibwa,51.22,-83.1,wini1244,North Albany Ojibwa (B339),xd1004,North Albany,1850,,,51.22,-83.1,Original,,Eastern Canada,society,seve1240,,dplace-dataset-binford
B340,Waswanipi Cree,49.78,-76.64,sout2978,Waswanipi Cree (B340),xd1005,Waswanipi,1900,,,49.78,-76.64,Original,,Eastern Canada,society,sout2978,,dplace-dataset-binford
B341,Wegamon Ojibwa,52.79,-90.64,seve1241,Wegamon Ojibwa (B341),xd1006,Wegamon,1890,,,52.79,-90.64,Original,,Eastern Canada,society,seve1240,,dplace-dataset-binford
B350,Mountain Dene,63.68,-125.37,nort2942,Mountain (B350),xd1007,Mountain; Sahaptin; Sahtu; Sahtu Dene,1800,,,63.68,-125.37,Original,,Subarctic America,society,nort2942,,dplace-dataset-binford
B351,Hän,64.79,-141.2,hann1241,Han (B351),xd1008,Han,1880,,,64.79,-141.2,Original,,Subarctic America,society,hann1241,,dplace-dataset-binford
B352,Hare,67.47,-125,nort2942,Hare (B352),xd1009,K'ahsho Got'ine; Sahtu; Sahtu Dene,1860,,,67.47,-125,Original,,Subarctic America,society,nort2942,,dplace-dataset-binford
B354,Koyukon,66.52,-153.78,koyu1237,Koyukon (B354),xd1010,,1880,,,66.52,-153.78,Original,,Subarctic America,society,koyu1237,,dplace-dataset-binford
B360,Waskaganish,51.08,-77.81,sout2978,Rupert House Cree (B360),xd1011,Rupert House Cree; Rupert House,1900,,,51.08,-77.81,Original,,Eastern Canada,society,sout2978,,dplace-dataset-binford
B363,Tutchone,61.24,-138.21,nort2941,Tutchone (B363),xd1012,,1890,,,61.24,-138.21,Original,,Subarctic America,society,nort2941,,dplace-dataset-binford
B364,Holikachuk,63.33,-157.54,holi1241,Holikachuk (B364),xd1013,,1860,,,63.33,-157.54,Original,,Subarctic America,society,holi1241,,dplace-dataset-binford
B369,Norton Sound Inuit,63.98,-160.75,kusk1241,Norton Sound Inuit (B369),xd1014,Norton Sound Eskimo,1870,,,63.98,-160.75,Original,,Subarctic America,society,cent2127,,dplace-dataset-binford
B370,Kobuk Inuit,66.95,-156.94,kobu1239,Kobuk Inuit (B370),xd1015,Kobuk Eskimo,1890,,,66.95,-156.94,Original,,Subarctic America,society,nort2943,,dplace-dataset-binford
B371,Kotzebue Sound Inuit,66.77,-161.53,kotz1238,Kotzebue Sound Inuit (B371),xd1016,Kotzebue Sound,1880,,,66.77,-161.53,Original,,Subarctic America,society,nort2943,,dplace-dataset-binford
