ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment,Contribution_ID
B001,Subsistence economy: Gathering,"Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.","{""datatype"": ""decimal""}","Economy, Property, Subsistence",Continuous,%,Binford (2001) Table 5.01; variable 'GATHERING',,More detail on code definitions and variable in Binford (2001) p. 117,dplace-dataset-binford
B002,Subsistence economy: Hunting,"Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities","{""datatype"": ""decimal""}","Economy, Property, Subsistence",Continuous,%,Binford (2001) Table 5.01; variable 'HUNTING',,More detail on code definitions and variable in Binford (2001) p. 117,dplace-dataset-binford
B003,Subsistence economy: Fishing,"Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities","{""datatype"": ""decimal""}","Economy, Property, Subsistence",Continuous,%,Binford (2001) Table 5.01; variable 'FISHING',,More detail on code definitions and variable in Binford (2001) p. 117,dplace-dataset-binford
B004,Subsistence economy: Most important activity,"Subsistence activity that provides the majority of a group's nutritional intake (hunting, gathering, or fishing)",,"Economy, Property, Subsistence",Categorical,,Binford (2001) Table 5.01; variable 'SUBSP',,"More detail on code definitions and variable in Binford (2001) pp. 117, 312",dplace-dataset-binford
B005,Subsistence economy: Deviation from HGF at documentation,"Character of a group's subsistence economy at the time of documentation (i.e., was susbsistence truly through hunting, gathering, fishing, only?). Groups are coded as either ""normal"" or ""suspect"".",,"Economy, Property, Subsistence",Categorical,,Binford (2001) Table 5.01; variable 'SUBPOP',,More detail on code definitions and variable in Binford (2001) p. 244,dplace-dataset-binford
B006,Population of ethnic group,Total number of persons to whom the the ethnographic description applies,"{""datatype"": ""decimal""}",Population,Continuous,individuals,Binford (2001) Table 5.01; variable 'TLPOP',,More detail on code definitions and variable in Binford (2001) p. 117,dplace-dataset-binford
B007,Area occupied by ethnic group (square km),"Ethnographers' estimates of the total land area occupied by the group, in square kilometers","{""datatype"": ""decimal""}","Population, Subsistence",Continuous,km2,Binford (2001) Table 5.01; variable 'AREA',"Binford provided estimates in units of '100 square km,' rather than 'square km'",More detail on code definitions and variable in Binford (2001) p. 117,dplace-dataset-binford
B008,Population density (persons per square km) ,Population of ethnic group divided by area occupied by ethnic group (persons per square km) ,"{""datatype"": ""decimal""}","Population, Subsistence",Continuous,individuals per km2,Binford (2001) Table 5.01; variable 'DENSITY',Binford provided estimates in 'person per 100 square km' rather than in 'persons per square km',More detail on code definitions and variable in Binford (2001) p. 117,dplace-dataset-binford
B009,Mobility of group,Is the population mobile or sedentary?,,"Community organization, Settlement",Categorical,,Binford (2001) Table 5.01; variable 'GRPPAT',,More detail on code definitions and variable in Binford (2001) p. 117,dplace-dataset-binford
B010,Size of smallest group that regularly cooperates for subsistence,"Mean size of the mobile consumer unit that camps together during the most dispersed phase of the settlement cycle. For sedentary groups, the entry indicates the size of the mobile task group operating out of a relatively permanent settlement, as in the case of family units moving together in a ‘walkabout’ strategy during some season of the year. (Binford's ""GRP1"").","{""datatype"": ""decimal""}","Community organization, Demography, Population, Settlement, Subsistence",Continuous,individuals,Binford (2001) Tables 5.01 and 8.01; variable 'GROUP1' (Table 5.01) or 'MOST DISPERSED' (Table 8.01),"In cases where tables 5.01 and 8.01 provided different values for the same society, we adopted the value from table 8.01 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.","More detail on code definitions and variable in Binford (2001) pp. 117, 143, 236, 244",dplace-dataset-binford
