type,name,tag,doi,cit,bib
datasets,binford,v3.2,10.5281/zenodo.17580172,Lewis R. Binford. (2025). D-PLACE dataset derived from Binford 2001 'Constructing Frames of Reference' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17580172,"@misc{dplace-dataset-binford,
  author    = {Binford, Lewis R.},
  title     = {D-PLACE dataset derived from Binford 2001 'Constructing Frames of Reference'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17580172},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17580172},
  copyright = {cc-by-nc-4.0}
}"
datasets,carneiro4,v1.0.1,10.5281/zenodo.17607789,Robert L. Carneiro. (2025). D-PLACE dataset derived from Robert L. Carneiro's Dataset (4th Edition) (v1.0.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17607789,"@misc{dplace-dataset-carneiro4,
  author    = {Carneiro, Robert L.},
  title     = {D-PLACE dataset derived from Robert L. Carneiro's Dataset (4th Edition)},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.0.1},
  doi       = {10.5281/zenodo.17607789},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17607789},
  copyright = {cc-by-4.0}
}"
datasets,carneiro6,v1.0.1,10.5281/zenodo.17607723,Robert L. Carneiro. (2025). D-PLACE dataset derived from Robert L. Carneiro's Dataset (6th edition) (v1.0.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17607723,"@misc{dplace-dataset-carneiro6,
  author    = {Carneiro, Robert L.},
  title     = {D-PLACE dataset derived from Robert L. Carneiro's Dataset (6th edition)},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.0.1},
  doi       = {10.5281/zenodo.17607723},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17607723},
  copyright = {cc-by-4.0}
}"
datasets,ccmc,v3.2,10.5281/zenodo.17600888,"Mila Bertolo, Martynas Snarskis, Manvir Singh, & Samuel Mehr. (2025). D-PLACE dataset derived from Bertolo et al. 2023 'Cross-cultural music corpus: The Expanded Natural History of Song Discography' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17600888","@misc{dplace-dataset-ccmc,
  author    = {Bertolo, Mila and Snarskis, Martynas and Singh, Manvir and Mehr, Samuel},
  title     = {D-PLACE dataset derived from Bertolo et al. 2023 'Cross-cultural music corpus: The Expanded Natural History of Song Discography'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17600888},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17600888},
  copyright = {cc-by-4.0}
}"
datasets,ea,v3.2.1,10.5281/zenodo.17602181,"Murdock, G. P., R. Textor, H. Barry, I., D. R. White, J. P. Gray, & W. T. Divale. (2025). D-PLACE dataset derived from Murdock et al. 1999 'Ethnographic Atlas' (v3.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17602181","@misc{dplace-dataset-ea,
  author    = {Murdock, G. P. and Textor, R. and Barry, H. and White, D. R. and Gray, J. P. and Divale, W. T.},
  title     = {D-PLACE dataset derived from Murdock et al. 1999 'Ethnographic Atlas'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2.1},
  doi       = {10.5281/zenodo.17602181},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17602181},
  copyright = {cc-by-nc-4.0}
}"
datasets,ecoclimate,v3.2,10.5281/zenodo.17601193,"Lima-Ribeiro MS, Varela S, González-Hernández J, Oliveira G, Diniz-Filho JAF, Peterson AT, & Terribile LC. (2025). D-PLACE dataset derived from Lima-Ribeiro et al. 2015 'ecoClimate' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601193","@misc{dplace-dataset-ecoclimate,
  author    = {MS, Lima-Ribeiro and S, Varela and J, González-Hernández and G, Oliveira and JAF, Diniz-Filho and AT, Peterson and LC, Terribile},
  title     = {D-PLACE dataset derived from Lima-Ribeiro et al. 2015 'ecoClimate'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601193},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601193},
  copyright = {cc-by-nc-sa-4.0}
}"
datasets,gmted2010,v3.2,10.5281/zenodo.17601586,Earth Resources Observation and Science (EROS) Center. (2025). D-PLACE dataset derived from 'Global Multi-resolution Terrain Elevation Data 2010' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601586,"@misc{dplace-dataset-gmted2010,
  author    = {Center, Earth Resources Observation and Science},
  title     = {D-PLACE dataset derived from 'Global Multi-resolution Terrain Elevation Data 2010'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601586},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601586},
  copyright = {cc-by-nc-4.0}
}"
datasets,gshhs,v3.2,10.5281/zenodo.17601634,"P. Wessel, & W. H. F. Smith. (2025). D-PLACE dataset derived from Wessel and Smith 2015 'Global Self-consistent, Hierarchical, High-resolution Geography Database' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601634","@misc{dplace-dataset-gshhs,
  author    = {Wessel, P. and Smith, W. H. F.},
  title     = {D-PLACE dataset derived from Wessel and Smith 2015 'Global Self-consistent, Hierarchical, High-resolution Geography Database'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601634},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601634},
  copyright = {lgpl-3.0}
}"
datasets,jenkins,v3.2,10.5281/zenodo.17601675,"Jenkins, C., SL Pimm, & LN Joppa. (2025). D-PLACE dataset derived from Jenkins et al. 2013 'Global patterns of terrestrial vertebrate diversity and conservation' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601675","@misc{dplace-dataset-jenkins,
  author    = {Jenkins, CN and Pimm, SL and Joppa, LN},
  title     = {D-PLACE dataset derived from Jenkins et al. 2013 'Global patterns of terrestrial vertebrate diversity and conservation'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601675},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601675},
  copyright = {cc-by-3.0}
}"
datasets,kreft,v3.2,10.5281/zenodo.17601737,"Kreft H., & Jetz W. (2025). D-PLACE dataset derived from Kreft and Jetz 2007 'Global patterns and determinants of vascular plant diversity' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601737","@misc{dplace-dataset-kreft,
  author    = {H., Kreft and W., Jetz},
  title     = {D-PLACE dataset derived from Kreft and Jetz 2007 'Global patterns and determinants of vascular plant diversity'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601737},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601737},
  copyright = {cc-by-nc-4.0}
}"
